Generated_Sentence_From_symptoms,Disease_Name,Source_URL
"I've been noticing some unusual physical characteristics in myself, including a mildly sunken chest and undescended testicles. Additionally, I've been experiencing mild to moderate cognitive problems. I've also observed some distinct facial features, such as a belly button that sticks out, a top portion of the ear that's folded over slightly, and a small nose with nostrils tipped forward. My eyes are wide-set with droopy eyelids, and I have a poorly developed middle section of the face. I've also noticed a wide groove above my upper lip and a crease below my lower lip. Furthermore, my hands and feet are small and broad with short fingers and curved-in fifth fingers, and my toes are short with mild webbing. I've also had delayed teeth and a scrotum that surrounds my penis, giving it a ""shawl scrotum"" appearance. My hairline has a ""widow's peak"" shape, and I've experienced delayed sexual maturity. Overall, I have a rounded face with a downward palpebral slant to my eyes, and I'm slightly shorter than average, which wasn't noticeable until I was around 1 to 3 years old.",Aarskog syndrome,https://medlineplus.gov/ency/article/001654.htm
"I've been aware of some unusual physical characteristics that have been concerning me, including my narrow shoulders, droopy eyelids, and absent or small knuckles. Additionally, my ears are deformed, and my skin is quite pale. I've also noticed that I have triple-jointed thumbs, which is quite unusual. Furthermore, I was born with a cleft palate, and I've struggled with an inability to fully extend my joints since birth.",Aase syndrome,https://medlineplus.gov/ency/article/001662.htm
"I've been experiencing some alarming symptoms lately, including passing out and frequent dizziness. I have severe, sudden, and persistent pain in my abdomen or back that sometimes spreads to my groin, buttocks, or legs. I've also been dealing with nausea and vomiting. Additionally, I've noticed signs of shock, such as clammy skin and a rapid heart rate.",Abdominal aortic aneurysm,https://medlineplus.gov/ency/article/000162.htm
"I've been experiencing some concerning symptoms related to my menstrual cycle, including tenderness and dryness of the vagina, as well as heavier bleeding, which has led to me passing large clots, needing to change my protection during the night, and soaking through a sanitary pad or tampon every hour for 2 to 3 hours in a row. Along with these physical symptoms, I've also been experiencing mood swings. My periods have become irregular, occurring less than 28 days apart or more than 35 days apart, and I've noticed bleeding or spotting from the vagina between periods. Additionally, I've developed excessive growth of body hair in a male pattern, which is quite distressing. I've also been experiencing hot flashes, and my bleeding has been lasting for more days than normal, often exceeding 7 days. To make matters more complicated, the time between my periods has been changing each month, making it difficult for me to predict when my next period will be.",Abnormal uterine bleeding,https://medlineplus.gov/ency/article/000903.htm
"I've been experiencing a feeling of impending doom, along with severe chest pain, and I've noticed that my skin and the whites of my eyes have taken on a yellowish hue, which I'm worried might be a sign of jaundice. I've also been having bronchospasms, which have led to coughing fits, and I'm concerned that I might be experiencing acute kidney failure, as I've noticed blood in my urine. Additionally, I've been feeling chills, and my blood pressure has been low, which has left me struggling to catch my breath and feeling dizzy. To make matters worse, I've been dealing with nausea and vomiting, and I've had a fever. I've also been told that I might have disseminated intravascular coagulation, or DIC. Furthermore, I've been experiencing pain at the infusion site, and my heart rate has been increasing, which has been causing me a lot of anxiety. Lastly, I've been having low back pain, which has been making it difficult for me to move around comfortably.",ABO incompatibility,https://medlineplus.gov/ency/article/001306.htm
"I've been experiencing some distressing symptoms lately, including a swollen belly, weakness, and a lack of appetite, which has led to some weight loss. I've also had a persistent cough, and the discomfort seems to be focused in one area of my belly, although it sometimes spreads to most of my abdominal area. Additionally, I've been having pain in my chest or shoulder, which can be sharp or dull, and it's often accompanied by fever or chills. Unfortunately, these symptoms seem to be getting worse over time. Furthermore, I've been experiencing diarrhea, pain in my back, and bouts of nausea or vomiting, which are really taking a toll on my overall health.",Abscess - abdomen or pelvis,https://medlineplus.gov/ency/article/000212.htm
"I've been experiencing some unusual symptoms that are affecting my daily life, particularly at school, where they've been interfering with my learning. I've been having episodes where I stare blankly, unaware of my surroundings, and suddenly halt whatever I'm doing, which can be mistaken for lack of attention or misbehavior. During these episodes, I'm actually wide awake, but my body can exhibit strange behaviors like no movement, hand fumbling, fluttering eyelids, or lip smacking. These seizures occur multiple times a day, and I'm often unaware that they're even happening. Sometimes, I'll stop walking or talking in mid-sentence and then start again a few seconds later, without even realizing it. Despite these episodes, I'm thinking clearly, but they've been going on for weeks to months before I even noticed something was wrong.",Absence seizure,https://medlineplus.gov/ency/article/000696.htm
"I've been experiencing some unusual physical changes lately, including unexplained weight gain or loss, and I've noticed vaginal dryness as well. Additionally, I've been dealing with discharge from my breasts and changes in their size, which has been concerning. Furthermore, I've observed changes in my voice, and I've started to notice acne and excessive hair growth in a male pattern, which is quite distressing.",Absent menstrual periods - secondary,https://medlineplus.gov/ency/article/001219.htm
"I've been struggling with a range of concerning symptoms, including failure to thrive, which has left me feeling weak and lethargic. I've also noticed a blue coloring to my skin, which is quite alarming, and I've been experiencing persistent coughing and wheezing. My breathing has become rapid, and I've lost my appetite, making it difficult for me to eat. Worst of all, I'm worried that I might be heading towards respiratory failure, which is a terrifying prospect.",Absent pulmonary valve,https://medlineplus.gov/ency/article/007314.htm
"I've been experiencing a multitude of alarming symptoms lately, including signs of liver and kidney failure, which is extremely concerning to me. I've had convulsions, which have led to seizures, and I've noticed my breathing has become very shallow. My skin has taken on a bluish tint, particularly in my fingernails and lips, which is unsettling. I've also been experiencing severe stomach and intestinal spasms, accompanied by low blood pressure, and there have been instances where I've stopped breathing altogether. Additionally, I've been dealing with nausea and vomiting, and I've even slipped into a coma, which is terrifying. When I'm awake, I feel very lethargic and unresponsive, and my skin is often cold and clammy. I've also been experiencing stupor, which is making it difficult for me to stay alert. On top of all this, I've been sweating heavily, feeling drowsy, and my pupils have become very small. My breathing has become slow and labored, making it hard for me to catch my breath.",Acetaminophen and codeine overdose,https://medlineplus.gov/ency/article/002562.htm
"I've been experiencing a multitude of symptoms that have been affecting my daily life, including nausea and vomiting, which have left me feeling irritable and uncomfortable. I've also noticed a change in my skin and the whites of my eyes, which have taken on a yellowish hue, indicating jaundice. Along with this, I've lost my appetite and have been dealing with abdominal pain and an upset stomach. Additionally, I've been sweating excessively and experiencing diarrhea. I'm worried because, in extreme cases, I've heard that these symptoms can lead to more severe complications, such as coma or even seizures.",Acetaminophen overdose,https://medlineplus.gov/ency/article/002598.htm
"I've been experiencing a range of unsettling symptoms, including a feeling of drunkenness, severe pain in my belly area, and low blood pressure. I've also been struggling with a lack of coordination, shortness of breath, and a slowed breathing rate. Additionally, I've noticed a fruity odor, an increased need to urinate, and difficulty breathing. Furthermore, I've been dealing with nausea and vomiting, and I've felt extremely drowsy and disoriented, sometimes slipping into a stupor with decreased levels of consciousness. Occasionally, I've even experienced a sweet taste in my mouth. In severe cases, I've felt like I'm on the verge of falling into a coma, becoming unconscious and unresponsive.",Acetone poisoning,https://medlineplus.gov/ency/article/002480.htm
"I've been experiencing some concerning symptoms lately, including unintentional weight loss, which is quite alarming. I've also been dealing with frequent heartburn, a persistent cough, and backflow of food, which can be really uncomfortable. Additionally, I've been having difficulty swallowing both liquids and solids, which is making eating and drinking quite challenging. Furthermore, I've been experiencing chest pain, which tends to worsen after eating, and sometimes it radiates to my back, neck, and arms, which is really unsettling.",Achalasia,https://medlineplus.gov/ency/article/000267.htm
"I've been dealing with an ankle injury and I've been trying to take care of it by keeping my foot elevated when I'm sitting and using pillows to raise my leg above the level of my heart when I sleep. I've also been using an ice pack on the area right after the injury and have been considering using a boot for walking or crutches to take the weight off my ankle. I've been advised to talk with you about my medical history, including heart disease, liver disease, high blood pressure, kidney disease, or if I've had stomach ulcers or bleeding. Additionally, I've been told not to give aspirin to children under 19 and to avoid taking more painkillers than the recommended dosage. I've also been considering quitting smoking as it can affect healing after surgery.",Achilles tendon rupture - aftercare,https://medlineplus.gov/ency/patientinstructions/000546.htm
"I've noticed that my body has some unusual physical characteristics, including a very short trunk, arms, legs, and neck, which makes my head appear large in relation to my trunk. Additionally, I've observed that my chest is quite narrow, and my lower jaw is smaller than usual.",Achondrogenesis,https://medlineplus.gov/ency/article/001247.htm
"I've been noticing some unusual physical characteristics that have been causing me concern, including an unusually large head, average-sized trunk with short arms and legs, particularly in the upper arms and thighs, which are quite bowed. My fingers are also quite short, with an extra space between the ring and middle finger, giving me what's known as a trident hand. Additionally, I've been dealing with crowded or crooked teeth, a large forehead, and a flat bridge of my nose. As an infant, I had decreased muscle tone, and now I have limited range of motion in my elbows. I'm also significantly shorter than average for someone of my age and sex. Furthermore, I've developed spine curvatures, including kyphosis and lordosis, which are causing me a lot of discomfort.",Achondroplasia,https://medlineplus.gov/ency/article/001577.htm
